“S”,“L”,“U”,“R”,“B”,“T”
-0.058617183277898,-0.027256359631796,-1.66700319834035,1.5707963267949,-0.087266462599717,-0.087266462599717
-0.057974023842953,-0.026327274321904,-1.66923472291582,1.5707963267949,-0.087266462599717,-0.069813170079773
-0.05771055579643,-0.024401605183445,-1.67007291000137,1.5707963267949,-0.087266462599717,-0.05235987755983
-0.057827627047369,-0.021998645107761,-1.67123298747047,1.5707963267949,-0.087266462599717,-0.034906585039887
-0.056046630608961,-0.020507809494534,-1.67229239696921,1.5707963267949,-0.087266462599717,-0.017453292519943
-0.056792599769172,-0.018690481465621,-1.67293052461713,1.5707963267949,-0.087266462599717,-1.38777878078145E-17
-0.05608391296284,-0.017306562275517,-1.67537814053579,1.5707963267949,-0.087266462599717,0.017453292519943
-0.055957628765162,-0.016256326756279,-1.67441629690325,1.5707963267949,-0.087266462599717,0.034906585039887
-0.054965684860399,-0.016367779168823,-1.67423000769862,1.5707963267949,-0.087266462599717,0.05235987755983
-0.055459734576847,-0.013658457300533,-1.67733112449513,1.5707963267949,-0.087266462599717,0.069813170079773
-0.047772069929485,-0.026033065139653,-1.66769655545512,1.5707963267949,-0.069813170079773,-0.087266462599717
-0.046610849649817,-0.02105739092296,-1.67270596131117,1.5707963267949,-0.069813170079773,-0.069813170079773
-0.047150906209629,-0.022360283880595,-1.67119393233564,1.5707963267949,-0.069813170079773,-0.05235987755983
-0.044979267295527,-0.020099849052241,-1.67255875454824,1.5707963267949,-0.069813170079773,-0.034906585039887
-0.046231063610447,-0.018100572864485,-1.67444778544018,1.5707963267949,-0.069813170079773,-0.017453292519943
-0.045146762623305,-0.020157167911092,-1.67096974736408,1.5707963267949,-0.069813170079773,-1.38777878078145E-17
-0.044839516272836,-0.016935966787454,-1.67539158873443,1.5707963267949,-0.069813170079773,0.017453292519943
-0.043926823339929,-0.014826331921564,-1.67621140712475,1.5707963267949,-0.069813170079773,0.034906585039887
-0.043224615099224,-0.013613990268661,-1.67733086522263,1.5707963267949,-0.069813170079773,0.05235987755983
-0.043916846994657,-0.013187668401141,-1.67729329576026,1.5707963267949,-0.069813170079773,0.069813170079773
-0.03575842971683,-0.025704640773806,-1.6684618149545,1.5707963267949,-0.05235987755983,-0.087266462599717
-0.035862232178533,-0.023957787272603,-1.6694255103318,1.5707963267949,-0.05235987755983,-0.069813170079773
-0.035146367396408,-0.020191923772927,-1.67422496375051,1.5707963267949,-0.05235987755983,-0.05235987755983
-0.035571226690486,-0.020011218397751,-1.67234713002778,1.5707963267949,-0.05235987755983,-0.034906585039887
-0.03341151419277,-0.020198118561583,-1.67187260037416,1.5707963267949,-0.05235987755983,-0.017453292519943
-0.033678759139128,-0.015382136692077,-1.67559568713299,1.5707963267949,-0.05235987755983,-1.38777878078145E-17
-0.033813152080662,-0.016234076051291,-1.6745412752558,1.5707963267949,-0.05235987755983,0.017453292519943
-0.033161521034941,-0.013246644407884,-1.67813238612988,1.5707963267949,-0.05235987755983,0.034906585039887
-0.032448868850573,-0.013934142812077,-1.67577730034572,1.5707963267949,-0.05235987755983,0.05235987755983
-0.031822615368284,-0.01051781890688,-1.67832096928565,1.5707963267949,-0.05235987755983,0.069813170079773
-0.024448806988209,-0.022177883017968,-1.67246491364083,1.5707963267949,-0.034906585039887,-0.087266462599717
